Client,Recency,Frequency,Monetary,RFM_Score,Cluster_KMeans
1991,298,3,1271.6,241,0
1987,408,2,1273.2,121,0
1984,156,2,1275.3,331,2
1983,167,2,1275.3,311,2
1985,230,2,1275.3,211,2
1982,236,2,1276.0,211,2
1981,457,2,1276.8,111,0
1975,286,2,1277.65,211,2
1950,391,2,1287.65,121,0
1946,373,2,1294.0,121,0
1941,328,2,1296.0,121,0
1943,329,2,1296.0,121,0
1942,192,2,1296.0,211,2
1939,281,2,1297.0,211,2
1937,131,2,1297.2,331,2
1905,140,2,1298.0,331,2
1895,208,2,1307.15,211,2
1893,600,3,1309.1,131,0
1891,-9,2,1309.3,431,2
1890,209,2,1312.15,211,2
1889,124,2,1312.2,321,2
1886,486,2,1316.0,121,0
1885,699,2,1316.0,121,0
1880,523,2,1321.3,111,0
1878,372,3,1322.05,131,0
1874,222,2,1326.0,211,2
1873,783,2,1326.1,121,0
1868,447,2,1327.0,121,0
1863,185,2,1327.2,311,2
1865,144,2,1327.2,331,2
1864,299,3,1327.2,241,0
1861,303,2,1328.1,221,0
1841,459,2,1336.0,111,0
1837,369,2,1340.0,121,0
1838,103,2,1340.0,431,2
1834,163,2,1345.0,311,2
1823,327,2,1347.15,121,0
1819,296,2,1347.15,211,0
1820,204,2,1347.15,211,2
1821,128,2,1347.15,331,2
1822,348,3,1347.15,131,0
1800,62,2,1349.0,421,2
1799,520,3,1349.3,131,0
1797,171,2,1350.65,311,2
1793,122,2,1357.35,321,2
1787,453,2,1358.5,111,0
1785,179,2,1361.15,311,2
1783,178,2,1363.55,311,2
1778,642,2,1366.0,121,0
1771,494,2,1370.45,121,0
1770,18,2,1371.6,431,2
1769,321,2,1372.0,121,0
1768,460,3,1373.0,131,0
1765,133,2,1375.0,331,2
1764,155,2,1375.05,331,2
1763,629,2,1376.0,121,0
1762,119,3,1376.37,331,2
1761,173,2,1377.0,311,2
1760,148,2,1377.0,331,2
1752,374,3,1384.0,131,0
1749,108,2,1386.0,431,2
1745,152,2,1387.15,331,2
1746,189,2,1387.15,211,2
1744,292,3,1387.3,241,2
1741,94,2,1393.45,431,2
1740,45,2,1394.75,421,2
1738,155,2,1395.0,331,2
1739,183,2,1395.0,311,2
1737,187,2,1395.0,311,2
1734,89,2,1396.0,422,2
1727,233,2,1397.0,212,2
1723,280,2,1397.0,212,2
1725,287,2,1397.0,212,2
1726,134,2,1397.0,332,2
1721,314,2,1397.0,222,0
1670,36,3,1400.1,432,2
1664,345,2,1415.0,122,0
1663,103,2,1415.15,432,2
1660,653,2,1418.0,122,0
1657,84,3,1421.0,432,2
1653,498,3,1424.0,132,0
1648,166,2,1426.0,312,2
1644,297,2,1427.05,212,0
1639,439,2,1436.0,122,0
1638,706,4,1436.0,142,0
1628,285,2,1444.55,212,2
1627,-8,2,1444.65,432,2
1626,250,2,1446.0,212,2
1624,126,3,1447.0,342,2
1625,339,2,1447.0,122,0
1620,753,2,1448.0,122,0
1615,-1,2,1450.1,432,2
1614,220,3,1454.0,232,2
1613,637,2,1454.65,122,0
1611,428,2,1457.0,122,0
1612,127,2,1457.0,332,2
1608,745,2,1458.0,122,0
1606,247,2,1460.7,212,2
1603,154,2,1465.0,332,2
1602,33,2,1466.0,422,2
1601,293,10,1466.05,242,1
1599,119,2,1470.3,322,2
1598,100,2,1473.0,432,2
1597,699,2,1476.0,122,0
1595,160,2,1477.0,332,2
1593,324,2,1477.05,122,0
1592,9,2,1479.0,432,2
1589,338,3,1483.3,132,0
1586,289,2,1488.6,212,2
1582,343,2,1490.45,122,0
1581,646,2,1490.9,122,0
1580,144,3,1494.0,342,2
1579,265,2,1495.0,212,2
1577,306,2,1496.0,222,0
1574,302,2,1497.0,222,0
1570,306,2,1497.0,222,0
1576,677,2,1497.0,122,0
1575,196,2,1497.0,212,2
1564,614,3,1498.15,132,0
1557,206,2,1500.95,212,2
1556,342,2,1502.15,122,0
1554,56,3,1504.15,432,2
1547,167,2,1515.15,312,2
1544,229,2,1516.4,212,2
1540,114,2,1517.15,322,2
1529,206,2,1523.6,212,2
1526,101,2,1530.0,432,2
1525,165,2,1531.0,312,2
1524,228,2,1534.0,212,2
1523,178,2,1534.8,312,2
1518,183,2,1537.0,312,2
1517,353,2,1537.0,122,0
1512,607,2,1546.0,122,0
1509,290,2,1547.0,212,2
1506,376,2,1547.0,122,0
1501,38,2,1553.0,422,2
1500,89,2,1553.0,422,2
1498,80,2,1553.0,432,2
1499,21,2,1553.0,432,2
1496,84,2,1553.0,432,2
1497,18,2,1553.0,432,2
1495,94,2,1553.0,432,2
1493,152,2,1555.0,332,2
1491,355,2,1556.0,122,0
1490,153,2,1556.15,332,2
1488,105,2,1558.05,432,2
1487,288,2,1560.15,212,2
1486,167,2,1563.15,312,2
1485,53,3,1564.0,432,2
1484,177,3,1564.0,342,2
1483,367,2,1565.0,122,0
1482,537,2,1566.0,112,0
1480,125,2,1566.0,322,2
1479,347,3,1566.8,132,0
1478,35,2,1567.0,422,2
1477,213,2,1567.15,212,2
1475,284,2,1569.65,212,2
1474,360,2,1570.0,122,0
1466,331,2,1576.0,122,0
1463,143,2,1580.05,332,2
1462,651,2,1580.1,122,0
1461,335,2,1580.15,122,0
1460,607,2,1584.45,122,0
1456,59,2,1593.0,422,2
1454,255,2,1595.0,212,2
1451,354,2,1596.0,122,0
1448,297,2,1596.0,212,0
1452,326,2,1596.0,122,0
1442,642,2,1597.8,122,0
1441,152,2,1598.0,332,2
1396,106,2,1601.0,432,2
1394,288,2,1603.55,212,2
1392,135,2,1607.1,332,2
1391,151,2,1607.8,332,2
1389,229,2,1608.3,212,2
1382,192,5,1612.3,242,1
1381,222,2,1613.15,212,2
1379,293,2,1614.0,212,2
1378,352,2,1614.0,122,0
1376,340,2,1614.3,122,0
1375,62,2,1614.65,422,2
1374,454,2,1615.0,112,0
1371,452,2,1616.0,112,0
1370,252,2,1617.0,212,2
1365,101,2,1619.95,422,2
1362,5,2,1623.0,432,2
1361,338,2,1623.0,122,0
1360,321,2,1627.0,122,0
1359,371,2,1627.0,122,0
1358,461,2,1628.0,112,0
1357,45,2,1628.3,422,2
1356,194,2,1629.45,212,2
1353,196,2,1635.0,212,2
1352,137,2,1635.0,332,2
1351,336,2,1636.0,122,0
1350,110,2,1638.0,322,2
1348,142,2,1643.8,332,2
1347,340,2,1645.45,122,0
1344,472,2,1646.0,122,0
1345,314,2,1646.0,222,0
1339,236,2,1647.0,212,2
1340,342,2,1647.0,122,0
1335,209,2,1651.05,212,2
1332,80,2,1653.05,432,2
1327,259,2,1657.1,212,2
1325,148,2,1661.15,332,2
1324,126,2,1662.0,322,2
1323,244,3,1662.15,242,2
1322,224,2,1663.15,212,2
1321,587,2,1665.0,122,0
1310,122,4,1669.95,342,1
1309,202,2,1672.25,212,2
1308,221,2,1672.65,212,2
1305,117,2,1675.05,322,2
1302,16,2,1678.85,432,2
1298,328,2,1685.45,122,0
1297,336,2,1686.0,122,0
1296,221,2,1686.3,212,2
1295,647,3,1688.0,132,0
1294,334,2,1688.15,122,0
1292,325,2,1691.0,122,0
1288,552,2,1695.0,112,0
1289,328,2,1695.0,122,0
1290,342,2,1695.0,122,0
1287,159,2,1695.0,332,2
1282,168,2,1696.0,312,2
1283,360,2,1696.0,122,0
1285,243,2,1696.0,212,2
1284,202,2,1696.0,212,2
1278,290,2,1697.0,212,2
1280,135,2,1697.0,332,2
1277,133,2,1697.0,332,2
1279,135,2,1697.0,332,2
1281,248,2,1697.0,212,2
1274,177,2,1698.0,312,2
1271,348,2,1698.75,122,0
1267,-3,2,1700.75,432,2
1266,223,2,1701.95,212,2
1264,321,2,1704.6,122,0
1263,171,2,1705.0,312,2
1256,26,2,1708.0,422,2
1249,402,2,1717.0,122,0
1251,456,2,1717.0,112,0
1247,397,2,1719.3,122,0
1246,282,2,1720.65,212,2
1245,263,2,1723.65,212,2
1244,225,2,1726.0,212,2
1242,560,2,1728.0,112,0
1240,237,2,1730.75,212,2
1239,589,2,1734.65,122,0
1237,350,2,1736.6,122,0
1236,585,2,1737.0,112,0
1233,689,2,1742.0,122,0
1232,344,2,1744.0,122,0
1231,2,3,1744.0,432,2
1230,255,2,1746.0,212,2
1223,452,2,1749.3,112,0
1221,185,2,1753.05,312,2
1220,231,2,1756.0,212,2
